"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"news:PIMP_ESCAPED","Dancers At Grestin Club Found Dead!","Dancers At Grestin Club Found Dead!"
"news:PIMP_ESCAPED","Newly Immigrated Girls Victims Of Human Trafficking","Newly Immigrated Girls Victims Of Human Trafficking"
"news:KILLERATHLETE","Republian Track Star Wanted For Murder!","Republian Track Star Wanted For Murder!"
"news:KILLERATHLETE","Vince Lestrade's Whereabouts Unknown - Has Likely Fled Republia","Vince Lestrade's Whereabouts Unknown - Has Likely Fled Republia"
"news:KILLERATHLETE","Vince Lestrade: Profile","Vince Lestrade: Profile"
"news:KILLERATHLETE","Girlfriend Killed In Jealous Rage?","Girlfriend Killed In Jealous Rage?"
"news:KILLERATHLETE_DETAINED","Vince Lestrade Apprehended In Grestin!","Vince Lestrade Apprehended In Grestin!"
"news:KILLERATHLETE_DETAINED","Track Champ Looks Quite Guilty Now","Track Champ Looks Quite Guilty Now"
"news:KILLERATHLETE_APPROVED","Vince Lestrade Spotted in Arstotzka","Vince Lestrade Spotted in Arstotzka"
"news:KILLERATHLETE_DENIED","Vince Lestrade Apprehended In Kolechia!","Vince Lestrade Apprehended In Kolechia!"
"news:DIPLOMAT_FIRST","Kolechia Sends Top-Level Diplomat","Kolechia Sends Top-Level Diplomat"
"news:DIPLOMAT_FIRST","Normalizing Trade Top Issue","Normalizing Trade Top Issue"
"news:BUSTED_SPY","Top-level Kolechian Exposed as Arstotzkan Spy!","Top-level Kolechian Exposed as Arstotzkan Spy!"
"news:BUSTED_SPY","Missing From Post, Presumed Dead","Missing From Post, Presumed Dead"
"news:BUSTED_SPY_GAVEREALDOCS","Kolechia Cleans House - Eliminates Arstotzkan Spies","Kolechia Cleans House - Eliminates Arstotzkan Spies"
"news:BUSTED_SPY_GAVEREALDOCS","Heroic Agents Compromised","Heroic Agents Compromised"
"news:BUSTED_SPY_GAVEFAKEDOCS","Kolechia Cleans House - Attacks Its Own!","Kolechia Cleans House - Attacks Its Own!"
"news:BUSTED_SPY_GAVEFAKEDOCS","Round Of Disappearances Blamed On Faulty Evidence","Round Of Disappearances Blamed On Faulty Evidence"
"news:FORGERY_NEWS","Theft At Ministry Of Admission!","Theft At Ministry Of Admission!"
"news:FORGERY_NEWS","Limited Effects - Few Items Stolen","Limited Effects - Few Items Stolen"
"news:SECRET_SOCIETY","The History of Arstotzka","The History of Arstotzka"
"news:SECRET_SOCIETY","In Pictures and Words - Mostly Words","In Pictures and Words - Mostly Words"
"news:CRIMINAL_ACTIVITY","A Criminal's Safe Haven","A Criminal's Safe Haven"
"news:CRIMINAL_ACTIVITY","Arstotzka Earns Dubious Reputation","Arstotzka Earns Dubious Reputation"
"news:LOSING_GUARDS","Ministries Fight Over Staff","Ministries Fight Over Staff"
"news:LOSING_GUARDS","Qualified Guards, Soldiers In Demand","Qualified Guards, Soldiers In Demand"
"news:LOSING_GUARDS","Consolidation, Reassignment At Border","Consolidation, Reassignment At Border"
"news:LOSING_GUARDS","Still Safe With Smaller Detail?","Still Safe With Smaller Detail?"
"news:RUNNER_AFTER_TRANQ","Grestin Incident Highlights Security Risks","Grestin Incident Highlights Security Risks"
"news:RUNNER_AFTER_TRANQ","Further Breaches Predicted","Further Breaches Predicted"
"news:BIKE_ATTACK","Daring Bike Attack At Grestin Checkpoint!","Daring Bike Attack At Grestin Checkpoint!"
"news:BIKE_ATTACK","Extremists Growing Bolder - Grestin Like Magnet","Extremists Growing Bolder - Grestin Like Magnet"
"news:BORDER_TARGETED","Can The Wall Hold?","Can The Wall Hold?"
"news:BORDER_TARGETED","Border Safety Continually Questioned","Border Safety Continually Questioned"
"news:BIKERUNNER_NEWS","Coordinated Border Breach!","Coordinated Border Breach!"
"news:BIKERUNNER_NEWS","Unknown Assailants Swamp Security","Unknown Assailants Swamp Security"
"news:NOSY_JOURNALIST_APPROVED","Arstotzka's Frail Border","Arstotzka's Frail Border"
"news:NOSY_JOURNALIST_APPROVED","United Fed Reporter Exposes Lax Protocols","United Fed Reporter Exposes Lax Protocols"
"news:NOSY_JOURNALIST_DENIED","Arstotzka's Iron Border","Arstotzka's Iron Border"
"news:NOSY_JOURNALIST_DENIED","Int. Media Reveals Entry Visa Bias","Int. Media Reveals Entry Visa Bias"
"news:IDSUPPLEMENT_INTRO","Another Bomber Slips Through!","Another Bomber Slips Through!"
"news:IDSUPPLEMENT_INTRO","Immigrant Screening Falls Short","Immigrant Screening Falls Short"
"news:IDSUPPLEMENT_INTRO","M.O.A. Gets New Director","M.O.A. Gets New Director"
"news:IDSUPPLEMENT_INTRO","Stricter Protocols Promised at Border","Stricter Protocols Promised at Border"
"news:WHISTLEBLOWER_SETUP0","Antegria Domestic Spying Exposed!","Antegria Domestic Spying Exposed!"
"news:WHISTLEBLOWER_SETUP0","Whistleblower On The Run","Whistleblower On The Run"
"news:WHISTLEBLOWER_SETUP1","Antegrian Whistleblower Denied Asylum In Republia","Antegrian Whistleblower Denied Asylum In Republia"
"news:WHISTLEBLOWER_SETUP2","Antegrian Whistleblower Turned Away From United Fed","Antegrian Whistleblower Turned Away From United Fed"
"news:WHISTLEBLOWER_COMING","Antegrian Whistleblower Accepted By Arstotzka","Antegrian Whistleblower Accepted By Arstotzka"
"news:WHISTLEBLOWER_COMING","Move Risks Angering Neighbors","Move Risks Angering Neighbors"
"news:WHISTLEBLOWER_IN","Antegrian Whistleblower Arrives - Disappears Immediately","Antegrian Whistleblower Arrives - Disappears Immediately"
"news:WHISTLEBLOWER_OUT","Antegrian Whistleblower Turned Away - Whereabouts Unknown","Antegrian Whistleblower Turned Away - Whereabouts Unknown"
"news:IMPOR_UNHAPPY","Impor Protests Unbalanced Trade Restrictions","Impor Protests Unbalanced Trade Restrictions"
"news:IMPOR_UNHAPPY","Claims Arstotzka Unfairly Taxes Imporian Goods","Claims Arstotzka Unfairly Taxes Imporian Goods"
"news:IMPOR_SANCTIONS_START","Impor Begins Trade Sanctions!","Impor Begins Trade Sanctions!"
"news:IMPOR_SANCTIONS_START","Immediately Restricts All Imports From Arstotzka","Immediately Restricts All Imports From Arstotzka"
"news:IMPOR_SANCTIONS_END","Impor Sanctions End!","Impor Sanctions End!"
"news:IMPOR_SANCTIONS_END","Over So Fast? What Happened?","Over So Fast? What Happened?"
"news:SURGERY_SETUP","Breakthrough Spinal Surgery Perfected","Breakthrough Spinal Surgery Perfected"
"news:SURGERY_SETUP","Only Possible With Arstotzkan Expertise","Only Possible With Arstotzkan Expertise"
"news:VIRUS_PRIMER","Polio Resurfaces In United Fed","Polio Resurfaces In United Fed"
"news:VIRUS_PRIMER","Isolated Diagnosis Or Something More?","Isolated Diagnosis Or Something More?"
"news:VIRUS_BAN_UNITED_FED","Full-blown Epidemic Threatens United Fed!","Full-blown Epidemic Threatens United Fed!"
"news:VIRUS_BAN_UNITED_FED","Previously Under Control, Polio Back With Vengeance","Previously Under Control, Polio Back With Vengeance"
"news:VIRUS_REQUIRE_CERT","Ministry of Health Acts To Protect Citizens","Ministry of Health Acts To Protect Citizens"
"news:VIRUS_REQUIRE_CERT","New Policy, Safeguards At Borders","New Policy, Safeguards At Borders"
"news:SERIAL_KILLER","Serial Child Killer Escapes United Fed Prison!","Serial Child Killer Escapes United Fed Prison!"
"news:SERIAL_KILLER","Simon Wens: An Arstotzkan Native - Returning Home?","Simon Wens: An Arstotzkan Native - Returning Home?"
"news:SERIAL_KILLER_MURDERED","Bloody Scene In Gennistora!","Bloody Scene In Gennistora!"
"news:SERIAL_KILLER_MURDERED","Simon Wens Found Dead In Confusing Mess","Simon Wens Found Dead In Confusing Mess"
"news:EZIC_ATTACK0","Grestin Metro Halted","Grestin Metro Halted"
"news:EZIC_ATTACK0","Tunnel Cave-in, Hints At Sabotage","Tunnel Cave-in, Hints At Sabotage"
"news:EZIC_ATTACK1_GIFT","Gov't Headquarters In Paradizna Evacuated!","Gov't Headquarters In Paradizna Evacuated!"
"news:EZIC_ATTACK1_GIFT","Strange Gas Detected - Staff Safe, Records Missing","Strange Gas Detected - Staff Safe, Records Missing"
"news:EZIC_ATTACK1_NOGIFT","Head Minister Of Finance Missing!","Head Minister Of Finance Missing!"
"news:EZIC_ATTACK1_NOGIFT","Markets React With Fast Selling, Instability","Markets React With Fast Selling, Instability"
"news:POISONING","Mysterious Poison Hospitalizes Several!","Mysterious Poison Hospitalizes Several!"
"news:POISONING","Unnamed Immigrant Smuggles Deadly Agent","Unnamed Immigrant Smuggles Deadly Agent"
"news:MARKED_DIPLOMAT","Top-Level Talks Called","Top-Level Talks Called"
"news:MARKED_DIPLOMAT","Grestin Territory Remains Dividing Issue","Grestin Territory Remains Dividing Issue"
"news:DIPLOMAT_SWAPPED","Kolechians Are Crazy","Kolechians Are Crazy"
"news:DIPLOMAT_SWAPPED","Bizarre Behavior From Top Negotiator Spoils Talks","Bizarre Behavior From Top Negotiator Spoils Talks"
"news:DIPLOMAT_ORIGINAL","A Tentative Understanding","A Tentative Understanding"
"news:DIPLOMAT_ORIGINAL","Kolechian Talks Establish Common Ground","Kolechian Talks Establish Common Ground"
"news:TALKS_BREAK_DOWN","Roadblock To Kolechian Resolution","Roadblock To Kolechian Resolution"
"news:TALKS_BREAK_DOWN","Contested City Drives Wedge","Contested City Drives Wedge"
"news:BORDER_CLOSING","Grestin Checkpoint Future Uncertain","Grestin Checkpoint Future Uncertain"
"news:BORDER_CLOSING","Too Open, Too Soon?","Too Open, Too Soon?"
"text:language_code","en","cz"
"text:language_name","ENGLISH","CZECH"
"text:language_author","Author","Sonix &amp; M4rty"
"text:wrap_hyphen","-","-"
"text:created_by","created by Lucas Pope","Cz preklad by Sonix &amp; M4rty"
"text:papers_please","Papers, please.","Papíry, prosím."
"text:protocol_violated","Protocol Violated.","Protokol Porusen."
"text:unauth_confiscation","Unauthorized passport confiscation","Neopravnene zabaveni pasu"
"text:missing_reason","Denial reason not given","Zapirani duvodu odevzdani"
"text:citation_warning","WARNING ISSUED - NO PENALTY","VYDANO VAROVANI - ZADNA PENALIZACE"
"text:citation_lastwarning","LAST WARNING - NO PENALTY","POSLEDNI VAROVANI - ZADNA PENALIZACE"
"text:citation_penalty","PENALTY ASSESSED - $0 CREDITS","ULOZEN TREST - $0 KREDITU"
"text:border_next","NEXT!","DALSI!"
"text:border_bomber","FOR KOLECHIA!","ZA KOLECHIU!"
"text:border_comeback","COME BACK AT 6AM TOMORROW","VRATTE SE ZITRA V 6 RANO"
"text:border_announce0","ENTRY IS NOT GUARANTEED","VSTUP NENI POVOLEN"
"text:border_announce1","HAVE YOUR DOCUMENTS READY","MEJTE SVOJE DOKUMENTY PRIPRAVENE"
"text:border_announce2","ARSTOTZKA WELCOMES YOU","VÍTÁME VÁS V ARSTOTZCE"
"text:border_guardout","OUT!","PRYC!"
"text:border_elisa","ELISA!","ELISA!"
"text:family_son_budget","SON","SYN"
"text:family_wife_budget","WIFE","ZENA"
"text:family_niece_budget","NIECE","NETER"
"text:family_uncle_budget","UNCLE","STRYC"
"text:family_mil_budget","MIL","TCHYNE"
"text:family_son_status","Son","Syn"
"text:family_wife_status","Wife","Zena"
"text:family_niece_status","Niece","Neter"
"text:family_uncle_status","Uncle","Stryc"
"text:family_mil_status","Mother-in-law","Tchyne"
"text:family_son_message","son","syn"
"text:family_wife_message","wife","zena"
"text:family_niece_message","niece","neter"
"text:family_uncle_message","uncle","stryc"
"text:family_mil_message","mother-in-law","tchyne"
"text:night_endof","END OF","KONEC"
"text:night_day","DAY $0","DEN $0"
"text:family_verysick_1","Your $0 will die without medicine.","Tvoje $0 umre bez mediciny."
"text:family_verysick_many","Very sick family members will die without medicine.","Hodne nemocny clenove rodiny umrou bez leku."
"text:family_sick_1","Your $0 is sick and needs medicine.","$0 je nemocny/a a potrebuje leky"
"text:family_sick_many","Your family needs medicine.","Tvoje rodina potrebuje leky."
"text:family_died_1","Your $0 has died.","Your $0 umrel."
"text:family_died_2","Your $0 and $1 have died.","Your $0 a $1 umreli."
"text:family_died_3","Your $0, $1, and $2 have died.","Your $0, $1, and $2 have died."
"text:family_died_4","Your $0, $1, $2, and $3 have died.","Your $0, $1, $2, and $3 have died."
"text:family_died_5","Your $0, $1, $2, $3, and $4 have died.","Your $0, $1, $2, $3, and $4 have died."
"text:family_escape_with_0","You leave behind everything.","Muzete vsechno zanechat."
"text:family_escape_with_1","You gather your $0 to leave for Obristan.","You gather your $0 to leave for Obristan."
"text:family_escape_with_2","You gather your $0 and $1 to leave for Obristan.","You gather your $0 and $1 to leave for Obristan."
"text:family_escape_with_3","You gather your $0, $1, and $2 to leave for Obristan.","You gather your $0, $1, and $2 to leave for Obristan."
"text:family_escape_with_4","You gather your $0, $1, $2, and $3 to leave for Obristan.","You gather your $0, $1, $2, and $3 to leave for Obristan."
"text:family_escape_with_5","You gather your $0, $1, $2, $3, and $4 to leave for Obristan.","You gather your $0, $1, $2, $3, and $4 to leave for Obristan."
"text:family_escape_without_1","Your $0 prepares to return to Nirsk.","Your $0 prepares to return to Nirsk."
"text:family_escape_without_2","Your $0 and $1 prepare to return to Nirsk.","Your $0 and $1 prepare to return to Nirsk."
"text:family_escape_without_3","Your $0, $1, and $2 prepare to return to Nirsk.","Your $0, $1, and $2 prepare to return to Nirsk."
"text:family_escape_without_4","Your $0, $1, $2, and $3 prepare to return to Nirsk.","Your $0, $1, $2, and $3 prepare to return to Nirsk."
"text:family_escape_without_5","Your $0, $1, $2, $3, and $4 prepare to return to Nirsk.","Your $0, $1, $2, $3, and $4 prepare to return to Nirsk."
"text:family_flee_final_0","Obristan Above All","Obristan Above All"
"text:family_flee_final_1","The safety of your $0 is unknown.","The safety of your $0 is unknown."
"text:family_flee_final_2","The safety of your $0 and $1 is unknown.","The safety of your $0 and $1 is unknown."
"text:family_flee_final_3","The safety of your $0, $1, and $2 is unknown.","The safety of your $0, $1, and $2 is unknown."
"text:family_flee_final_4","The safety of your $0, $1, $2, and $3 is unknown.","The safety of your $0, $1, $2, and $3 is unknown."
"text:family_flee_final_5","The safety of your $0, $1, $2, $3, and $4 is unknown.","The safety of your $0, $1, $2, $3, and $4 is unknown."
"text:budget_savings","SAVINGS","ÚSPORY"
"text:budget_salary","SALARY ($0)","VÝPLATA ($0)"
"text:budget_penalties","PENALTIES ($0)","POKUTY ($0)"
"text:budget_bribes","BRIBES","ÚPLATKY"
"text:budget_rent","RENT","PRONÁJEM"
"text:budget_food","FOOD","JÍDLO"
"text:budget_heat","HEAT","TEPLO"
"text:budget_medicine","MEDICINE ($0)","LÉKY ($0)"
"text:budget_sleep","SLEEP","SPÁT"
"text:budget_escape","ESCAPE","UTÉCT"
"text:menu_back","BACK","ZPET"
"text:confirm_ok","OKAY","OKAY"
"text:confirm_cancel","CANCEL","ZRUSIT"
"text:menu_mainmenu","MAIN MENU","HLAVNÍ MENU"
"text:menu_resume","RESUME","POKRACOVAT"
"text:menu_quit","QUIT","VYPNOUT"
"text:menu_done","DONE","HOTOVO"
"text:menu_story","STORY","PRÍBEH"
"text:menu_endless","ENDLESS","NEKONECNÝ"
"text:menu_play","PLAY","PLAY"
"text:menu_fullscreen","Fullscreen","Celá Obrazovka"
"text:menu_nudity","Nudity","Nahota"
"text:menu_easy","Easy Mode","Lehký Mód"
"text:menu_music","Music","Hudba"
"text:menu_sound","Sound","Zvuk"
"text:menu_dateformat","Date Format","Formát Data"
"text:menu_language","Language","Jazyk"
"text:menu_easytip","+ 20 credits per day","+ 20 kreditu za den"
"text:menu_stats","STATS","STATISTIKY"
"text:menu_next","NEXT","DALSÍ"
"text:menu_walktowork","WALK TO WORK","JÍT DO PRACE"
"text:menu_paused","PAUSED","POZASTAVENO"
"text:menu_settings","SETTINGS","NASTAVENÍ"
"text:menu_credits","CREDITS","KREDITY"
"text:menu_checkforupdates","CHECK FOR UPDATES","ZKOUNTROLOVAT UPDATE!"
"text:stats_text","Played for $time
$processed travelers processed
$approved approved
$denied denied
$detained detained
$citations citations earned
$stamps stamps applied
Ending $endnum of $endtotal","Hrál jsi $time
$processed proverených osob
$approved povoleno
$denied zamítnuto
$detained zadrženo osob
$citations ocenění získáno
$stamps použito razítek
Konce $endnum z $endtotal"
"text:steam_noinit","STEAM CONNECTION FAILED

If this problem persists, re-install the Steam client.","STEAM CONNECTION FAILED

If this problem persists, re-install the Steam client."
"text:steam_restartfailed","STEAM RESTART FAILED

If this problem persists, re-install the Steam client.","STEAM RESTART FAILED

If this problem persists, re-install the Steam client."
"text:steam_noconnect","STEAM CONNECTION FAILED

The game will attempt to restart through the Steam client.","STEAM CONNECTION FAILED

The game will attempt to restart through the Steam client."
"text:steam_restart","RESTART","RESTART"
"text:load_title","Select day to continue or start a new game","Vyber den nebo zacni novou hru."
"text:load_confirm_delete_single","Delete this day $0 save?

There is no undo.","Smazat tuhle $0 ulozenou pozici ??

Nejde vrátit zpet."
"text:load_confirm_delete_multi","Delete this save branch from day $0 to day $1?

There is no undo.","Smazat den $0 do dne $1?

Nejde vrátit zpet."
"text:load_delete","DELETE","SMAZAT"
"text:load_confirm_full","Save tracks full.

Continue from a right-most save or delete a save branch to free up a track.",".

Continue from a right-most save or delete a save branch to free up a track."
"text:load_summary","Day $day
""$news""

$savings credits, $family family members,
$tokens tokens, apartment $apt","dAN $day
""$news""

$savings kredity, $family clenové rodiny,
$tokens žetony, apartmán $apt"
"text:load_continue","CONTINUE","POKRACOVAT"
"text:emotion_happy","HAPPY","STESTÍ"
"text:emotion_ok","OK","OK"
"text:emotion_sad","SAD","SMUTEK"
"text:emotion_cold","COLD","ZIMA"
"text:emotion_sick","SICK","NEMOC"
"text:emotion_verysick","VERY SICK","VÁZNÁ NEMOC"
"text:emotion_dead","DEAD","SMRT"
"text:emotion_hungry","HUNGRY","HLAD"
"text:load_latest","LATEST","POSLEDNÍ"
"text:entry_approved","ENTRY GRANTED","VSTUP UDELEN"
"text:entry_denied","ENTRY DENIED","VSTUP ZAKÁZAN"
"text:stamp_approved","APPROVED","SCHVALENÉ"
"text:stamp_denied","DENIED","ODEPRENO"
"text:stamp_reason","REASON","DŮVOD"
"text:booth_dragdocs","DRAG DOCUMENTS HERE","VLOZ DOKUMENTY ZDE"
"text:booth_highlight","HIGHLIGHT DISCREPANCIES","OZNAC ROZDÍL"
"text:booth_discrepancy","DISCREPANCY
DETECTED","DETEKOVÁN
ROZDÍL"
"text:booth_interrogate","INTERROGATE","VYSLÝCHAT"
"text:booth_matching","MATCHING
DATA","DATA
SOUHLASÍ"
"text:booth_nocorrelation","NO
CORRELATION","ZÁDNÁ
SOUVISLOST"
"text:booth_cleared","DISCREPANCY
CLEARED","ROZDÍL
VYRESEN"
"text:env_clearforentry","Applicant clear for entry","Zadatel/ka pro vstup"
"text:env_lettermale","M","M"
"text:env_letterfemale","F","F"
"text:env_noalias","No known alias","Zádná prezdivka"
"text:env_typochars","aeiou,iuy,pgq,lj,ck,bh","aeiou,iuy,pgq,lj,ck,bh"
"text:endless_complete","$style
$course

$time
$score Points","$style
$course

$time
$score Points"
"text:endless_ranked","Ranked #$0","Ranked #$0"
"text:endless_unlock","Complete story mode with your job intact to unlock endless mode","Dokoncete príbeh bez porusení k odemcení nekonecného rezimu."
"text:endless_wrongcode","S O R R Y","N E J D E"
"text:date_verbose","$month $day, $year","$month $day, $year"
"text:month_1","January","Ledna"
"text:month_2","February","Unora"
"text:month_3","March","Brezna"
"text:month_4","April","Dubna"
"text:month_5","May","Kveten"
"text:month_6","June","Cervna"
"text:month_7","July","Cervence"
"text:month_8","August","Srpna"
"text:month_9","September","Zari"
"text:month_10","October","Rijna"
"text:month_11","November","Kvetna"
"text:month_12","December","Prosince"
"text:day_1","1st","1"
"text:day_2","2nd","2"
"text:day_3","3rd","3"
"text:day_4","4th","4"
"text:day_5","5th","5"
"text:day_6","6th","6"
"text:day_7","7th","7"
"text:day_8","8th","8"
"text:day_9","9th","9"
"text:day_10","10th","10"
"text:day_11","11th","11"
"text:day_12","12th","12"
"text:day_13","13th","13"
"text:day_14","14th","14"
"text:day_15","15th","15"
"text:day_16","16th","16"
"text:day_17","17th","17"
"text:day_18","18th","18"
"text:day_19","19th","19"
"text:day_20","20th","20"
"text:day_21","21st","21"
"text:day_22","22nd","22"
"text:day_23","23rd","23"
"text:day_24","24th","24"
"text:day_25","25th","25"
"text:day_26","26th","26"
"text:day_27","27th","27"
"text:day_28","28th","28"
"text:day_29","29th","29"
"text:day_30","30th","30"
"text:day_31","31st","31"
"text:bulletin_default","Arstotzka
Ministry of Admission
Official Bulletin

Inspector,

$content

Glory to Arstotzka.","Arstotzka
Ministerstvo Prijetí
Oficiální Noviny

Inspektore,

$content

Slava Arstotzce."
"text:bulletin_notice","Arstotzka
Ministry of Admission
Official Bulletin

NOTICE:

$content

Glory to Arstotzka.","Arstotzka
Ministerstvo Prijetí
Oficiální Noviny

POZNÁMKA:

$content

Slava Arstotzce."
"text:bulletin_endless","Arstotzka
Ministry of Admission
Official Bulletin

$style

$course

Glory to Arstotzka.","Arstotzka
Ministerstvo Prijetí
Oficiální Noviny

$style

$course

Slava Arstotzce."
